id,english,category
418,Today is day 19 of the month,Time & Numbers
419,Today is day 20 of the month,Time & Numbers
420,Today is day 21 of the month,Time & Numbers
421,Today is day 22 of the month,Time & Numbers
422,Today is day 23 of the month,Time & Numbers
423,Today is day 24 of the month,Time & Numbers
424,Today is day 25 of the month,Time & Numbers
425,Today is day 26 of the month,Time & Numbers
426,Today is day 27 of the month,Time & Numbers
427,Today is day 28 of the month,Time & Numbers
428,Today is day 29 of the month,Time & Numbers
429,Today is day 30 of the month,Time & Numbers
430,Today is day 31 of the month,Time & Numbers
431,Do you have Wi-Fi?,Daily Life & Technology
432,What’s the password?,Daily Life & Technology
433,Can I use your phone?,Daily Life & Technology
434,Can I charge my phone?,Daily Life & Technology
435,My phone is out of battery,Daily Life & Technology
436,I need internet,Daily Life & Technology
437,Can I borrow your laptop?,Daily Life & Technology
438,Can I use your computer?,Daily Life & Technology
439,I can’t connect to Wi-Fi,Daily Life & Technology
440,The internet is slow,Daily Life & Technology
441,Can you send me an email?,Daily Life & Technology
442,Can you send me a message?,Daily Life & Technology
443,Add me on Facebook,Daily Life & Technology
444,Follow me on Instagram,Daily Life & Technology
445,Do you use WhatsApp?,Daily Life & Technology
446,Do you use Messenger?,Daily Life & Technology
447,Do you use Viber?,Daily Life & Technology
448,I lost my phone,Daily Life & Technology
449,My phone was stolen,Daily Life & Technology
450,I forgot my password,Daily Life & Technology
451,I have a meeting,Work & Study
452,Let’s schedule a meeting,Work & Study
453,Can we talk later?,Work & Study
454,I need more time,Work & Study
455,I will send you an email,Work & Study
456,Please reply to my email,Work & Study
457,I am working on it,Work & Study
458,I will finish it soon,Work & Study
459,I need your help,Work & Study
460,Let’s work together,Work & Study
461,Can we discuss this?,Work & Study
462,I agree with you,Work & Study
463,I don’t agree,Work & Study
464,That’s a good idea,Work & Study
465,That’s not possible,Work & Study
466,I will think about it,Work & Study
467,I will call you back,Work & Study
468,Can you explain this?,Work & Study
469,Please wait a moment,Work & Study
470,I need to go now,Work & Study
471,Let’s start the project,Work & Study
472,I will do my best,Work & Study
473,That’s correct,Work & Study
474,That’s wrong,Work & Study
475,We need more information,Work & Study
476,We need more people,Work & Study
477,We need more time,Work & Study
478,Can we meet tomorrow?,Work & Study
479,Let’s take a break,Work & Study
480,I will send the report,Work & Study
481,I finished the task,Work & Study
482,I am studying,Work & Study
483,I have an exam,Work & Study
484,I passed the exam,Work & Study
485,I failed the exam,Work & Study
486,I need to study,Work & Study
487,I am doing homework,Work & Study
488,This is difficult,Work & Study
489,This is easy,Work & Study
